"","ensembl_gene_id","external_gene_name","description"
"18","ENSG00000275786","KIR3DL1","killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]"
"19","ENSG00000275288","KIR3DL1","killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]"
"20","ENSG00000278207","KIR2DL1","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]"
"21","ENSG00000274948","KIR3DL1","killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]"
"22","ENSG00000276423","KIR3DL1","killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]"
"23","ENSG00000273510","KIR2DL1","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]"
"24","ENSG00000278755","KIR2DL1","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]"
"25","ENSG00000278856","KIR3DL1","killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]"
"26","ENSG00000274830","KIR2DL3","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6331]"
"27","ENSG00000275659","KIR3DL1","killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]"
"28","ENSG00000276590","KIR2DL3","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6331]"
"29","ENSG00000275750","KIR2DL1","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]"
"30","ENSG00000275080","KIR2DL1","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]"
"31","ENSG00000276218","KIR2DL3","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6331]"
"32","ENSG00000274108","KIR2DL3","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6331]"
"33","ENSG00000277356","KIR2DL1","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]"
"34","ENSG00000278369","KIR2DL3","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6331]"
"35","ENSG00000278327","KIR2DL3","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6331]"
"36","ENSG00000273887","KIR2DL3","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6331]"
"37","ENSG00000276310","KIR2DL1","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]"
"38","ENSG00000274920","KIR3DL1","killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]"
"39","ENSG00000273794","KIR2DL1","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]"
"40","ENSG00000278079","KIR3DL1","killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]"
"41","ENSG00000278368","KIR3DL1","killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]"
"42","ENSG00000278495","KIR2DL1","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]"
"43","ENSG00000277554","KIR2DL3","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6331]"
"44","ENSG00000274692","KIR2DL1","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]"
"45","ENSG00000276625","KIR2DL1","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]"
"46","ENSG00000275276","KIR2DL1","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]"
"47","ENSG00000275008","KIR2DL3","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6331]"
"48","ENSG00000278788","SBNO2","strawberry notch homolog 2 [Source:HGNC Symbol;Acc:HGNC:29158]"
"49","ENSG00000273518","KIR3DL1","killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]"
"50","ENSG00000278821","KIR2DL1","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]"
"51","ENSG00000277833","KIR2DL1","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]"
"52","ENSG00000278427","KIR3DL1","killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]"
"53","ENSG00000280807","TUBGCP5","tubulin gamma complex associated protein 5 [Source:HGNC Symbol;Acc:HGNC:18600]"
"54","ENSG00000281919","SLC45A2","solute carrier family 45 member 2 [Source:HGNC Symbol;Acc:HGNC:16472]"
"55","ENSG00000274402","KIR2DL3","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6331]"
"56","ENSG00000275486","KIR3DL1","killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]"
"57","ENSG00000277175","KIR3DL1","killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]"
"58","ENSG00000276856","TUBGCP5","tubulin gamma complex associated protein 5 [Source:HGNC Symbol;Acc:HGNC:18600]"
"59","ENSG00000282110","MAPK4","mitogen-activated protein kinase 4 [Source:HGNC Symbol;Acc:HGNC:6878]"
"60","ENSG00000275623","KIR2DL3","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6331]"
"61","ENSG00000276068","NAIP","NLR family apoptosis inhibitory protein [Source:HGNC Symbol;Acc:HGNC:7634]"
"62","ENSG00000277278","HERC2","HECT and RLD domain containing E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:4868]"
"63","ENSG00000276613","MUC4","mucin 4, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7514]"
"64","ENSG00000278303","MUC4","mucin 4, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7514]"
"65","ENSG00000275658","KIR2DL3","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6331]"
"66","ENSG00000281300","NXN","nucleoredoxin [Source:HGNC Symbol;Acc:HGNC:18008]"
"67","ENSG00000276536","HRAS","HRas proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:5173]"
"68","ENSG00000275555","DLL1","delta like canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:2908]"
"69","ENSG00000273984","MUC4","mucin 4, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7514]"
"70","ENSG00000273822","MUC4","mucin 4, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7514]"
"71","ENSG00000275399","NLRP2","NLR family pyrin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:22948]"
"72","ENSG00000275522","KIR2DL1","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]"
"73","ENSG00000275196","KIR2DL1","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]"
"74","ENSG00000225351","ZNF311","zinc finger protein 311 [Source:HGNC Symbol;Acc:HGNC:13847]"
"75","ENSG00000278789","NLRP2","NLR family pyrin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:22948]"
"76","ENSG00000278468","MUC4","mucin 4, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7514]"
"77","ENSG00000228978","TNF","tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]"
"78","ENSG00000281484","BTG3","BTG anti-proliferation factor 3 [Source:HGNC Symbol;Acc:HGNC:1132]"
"79","ENSG00000276802","HERC2","HECT and RLD domain containing E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:4868]"
"80","ENSG00000274926","KIR2DL1","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]"
"81","ENSG00000275796","NLRP2","NLR family pyrin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:22948]"
"82","ENSG00000278613","NAIP","NLR family apoptosis inhibitory protein [Source:HGNC Symbol;Acc:HGNC:7634]"
"83","ENSG00000232804","HSPA1B","heat shock protein family A (Hsp70) member 1B [Source:HGNC Symbol;Acc:HGNC:5233]"
"84","ENSG00000276618","RAD17","RAD17 checkpoint clamp loader component [Source:HGNC Symbol;Acc:HGNC:9807]"
"85","ENSG00000278211","TRIM69","tripartite motif containing 69 [Source:HGNC Symbol;Acc:HGNC:17857]"
"86","ENSG00000275843","NLRP2","NLR family pyrin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:22948]"
"87","ENSG00000243612","HLA-DOB","major histocompatibility complex, class II, DO beta [Source:HGNC Symbol;Acc:HGNC:4937]"
"88","ENSG00000277924","KIR2DL3","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6331]"
"89","ENSG00000278062","ZNF251","zinc finger protein 251 [Source:HGNC Symbol;Acc:HGNC:13045]"
"90","ENSG00000278466","MUC2","mucin 2, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7512]"
"91","ENSG00000277060","NLRP2","NLR family pyrin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:22948]"
"92","ENSG00000276155","MAPT","microtubule associated protein tau [Source:HGNC Symbol;Acc:HGNC:6893]"
"93","ENSG00000277273","CDK7","cyclin dependent kinase 7 [Source:HGNC Symbol;Acc:HGNC:1778]"
"94","ENSG00000273707","CDKN1C","cyclin dependent kinase inhibitor 1C [Source:HGNC Symbol;Acc:HGNC:1786]"
"95","ENSG00000277263","HLA-DRA","major histocompatibility complex, class II, DR alpha [Source:HGNC Symbol;Acc:HGNC:4947]"
"96","ENSG00000275565","ALOX5","arachidonate 5-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:435]"
"97","ENSG00000278682","NLRP2","NLR family pyrin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:22948]"
"98","ENSG00000273992","NLRP2","NLR family pyrin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:22948]"
"99","ENSG00000274638","NLRP2","NLR family pyrin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:22948]"
"100","ENSG00000274036","KIR3DL1","killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]"
"101","ENSG00000275164","MUC4","mucin 4, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7514]"
"102","ENSG00000223448","LTB","lymphotoxin beta [Source:HGNC Symbol;Acc:HGNC:6711]"
"103","ENSG00000239836","PSMB9","proteasome 20S subunit beta 9 [Source:HGNC Symbol;Acc:HGNC:9546]"
"104","ENSG00000275545","KIR3DL1","killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]"
"105","ENSG00000231314","LTB","lymphotoxin beta [Source:HGNC Symbol;Acc:HGNC:6711]"
"106","ENSG00000275199","AKT3","AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]"
"107","ENSG00000278232","CRHR1","corticotropin releasing hormone receptor 1 [Source:NCBI gene (formerly Entrezgene);Acc:1394]"
"108","ENSG00000235941","HSPA1A","heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]"
"109","ENSG00000274952","KIR2DL3","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6331]"
"110","ENSG00000276191","CRHR1","corticotropin releasing hormone receptor 1 [Source:HGNC Symbol;Acc:HGNC:2357]"
"111","ENSG00000224156","TUBB","tubulin beta class I [Source:HGNC Symbol;Acc:HGNC:20778]"
"112","ENSG00000277585","MUC4","mucin 4, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7514]"
"113","ENSG00000242092","HLA-DMB","major histocompatibility complex, class II, DM beta [Source:HGNC Symbol;Acc:HGNC:4935]"
"114","ENSG00000273814","OCLN","occludin [Source:HGNC Symbol;Acc:HGNC:8104]"
"115","ENSG00000243958","PSMB9","proteasome 20S subunit beta 9 [Source:HGNC Symbol;Acc:HGNC:9546]"
"116","ENSG00000280563","NXN","nucleoredoxin [Source:HGNC Symbol;Acc:HGNC:18008]"
"117","ENSG00000274474","YWHAE","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon [Source:HGNC Symbol;Acc:HGNC:12851]"
"118","ENSG00000223687","ZNF311","zinc finger protein 311 [Source:HGNC Symbol;Acc:HGNC:13847]"
"119","ENSG00000282092","MED16","mediator complex subunit 16 [Source:HGNC Symbol;Acc:HGNC:17556]"
"120","ENSG00000233051","MICA","MHC class I polypeptide-related sequence A [Source:HGNC Symbol;Acc:HGNC:7090]"
"121","ENSG00000277956","MAPT","microtubule associated protein tau [Source:HGNC Symbol;Acc:HGNC:6893]"
"122","ENSG00000278738","KIR2DL1","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]"
"123","ENSG00000234012","MDC1","mediator of DNA damage checkpoint 1 [Source:HGNC Symbol;Acc:HGNC:21163]"
"124","ENSG00000227357","HLA-DRB4","major histocompatibility complex, class II, DR beta 4 [Source:HGNC Symbol;Acc:HGNC:4952]"
"125","ENSG00000230279","LTA","lymphotoxin alpha [Source:HGNC Symbol;Acc:HGNC:6709]"
"126","ENSG00000236693","HLA-DPB1","major histocompatibility complex, class II, DP beta 1 [Source:HGNC Symbol;Acc:HGNC:4940]"
"127","ENSG00000242361","HLA-DMA","major histocompatibility complex, class II, DM alpha [Source:HGNC Symbol;Acc:HGNC:4934]"
"128","ENSG00000237724","HSPA1A","heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]"
"129","ENSG00000275082","NLRP2","NLR family pyrin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:22948]"
"130","ENSG00000232045","EHMT2","euchromatic histone lysine methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:14129]"
"131","ENSG00000278567","CCL3","C-C motif chemokine ligand 3 [Source:HGNC Symbol;Acc:HGNC:10627]"
"132","ENSG00000231021","HLA-DRB4","major histocompatibility complex, class II, DR beta 4 [Source:HGNC Symbol;Acc:HGNC:4952]"
"133","ENSG00000277943","CCL4","C-C motif chemokine ligand 4 [Source:HGNC Symbol;Acc:HGNC:10630]"
"134","ENSG00000274410","KIR2DL3","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6331]"
"135","ENSG00000274205","MAPK15","mitogen-activated protein kinase 15 [Source:HGNC Symbol;Acc:HGNC:24667]"
"136","ENSG00000223680","DDR1","discoidin domain receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:2730]"
"137","ENSG00000227715","HLA-A","major histocompatibility complex, class I, A [Source:HGNC Symbol;Acc:HGNC:4931]"
"138","ENSG00000235067","TUBB","tubulin beta class I [Source:HGNC Symbol;Acc:HGNC:20778]"
"139","ENSG00000242386","HLA-DMB","major histocompatibility complex, class II, DM beta [Source:HGNC Symbol;Acc:HGNC:4935]"
"140","ENSG00000231268","AGER","advanced glycosylation end-product specific receptor [Source:HGNC Symbol;Acc:HGNC:320]"
"141","ENSG00000275214","IFI27","interferon alpha inducible protein 27 [Source:HGNC Symbol;Acc:HGNC:5397]"
"142","ENSG00000206450","HLA-B","major histocompatibility complex, class I, B [Source:HGNC Symbol;Acc:HGNC:4932]"
"143","ENSG00000229074","HLA-DRB1","major histocompatibility complex, class II, DR beta 1 [Source:HGNC Symbol;Acc:HGNC:4948]"
"144","ENSG00000228163","HLA-DPA1","major histocompatibility complex, class II, DP alpha 1 [Source:HGNC Symbol;Acc:HGNC:4938]"
"145","ENSG00000239463","HLA-DMA","major histocompatibility complex, class II, DM alpha [Source:HGNC Symbol;Acc:HGNC:4934]"
"146","ENSG00000225589","MDC1","mediator of DNA damage checkpoint 1 [Source:HGNC Symbol;Acc:HGNC:21163]"
"147","ENSG00000224587","MDC1","mediator of DNA damage checkpoint 1 [Source:HGNC Symbol;Acc:HGNC:21163]"
"148","ENSG00000235030","IER3","immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]"
"149","ENSG00000278503","KIR2DL1","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]"
"150","ENSG00000238134","EHMT2","euchromatic histone lysine methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:14129]"
"151","ENSG00000232957","HLA-DOA","major histocompatibility complex, class II, DO alpha [Source:HGNC Symbol;Acc:HGNC:4936]"
"152","ENSG00000233831","ZNF311","zinc finger protein 311 [Source:HGNC Symbol;Acc:HGNC:13847]"
"153","ENSG00000228080","HLA-DRB1","major histocompatibility complex, class II, DR beta 1 [Source:HGNC Symbol;Acc:HGNC:4948]"
"154","ENSG00000234794","HLA-DRA","major histocompatibility complex, class II, DR alpha [Source:HGNC Symbol;Acc:HGNC:4947]"
"155","ENSG00000204487","LTB","lymphotoxin beta [Source:HGNC Symbol;Acc:HGNC:6711]"
"156","ENSG00000238196","NOTCH4","notch receptor 4 [Source:HGNC Symbol;Acc:HGNC:7884]"
"157","ENSG00000237508","HLA-F","major histocompatibility complex, class I, F [Source:HGNC Symbol;Acc:HGNC:4963]"
"158","ENSG00000234475","HSPA1A","heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]"
"159","ENSG00000235844","HLA-DPA1","major histocompatibility complex, class II, DP alpha 1 [Source:HGNC Symbol;Acc:HGNC:4938]"
"160","ENSG00000234487","HLA-F","major histocompatibility complex, class I, F [Source:HGNC Symbol;Acc:HGNC:4963]"
"161","ENSG00000229215","HLA-A","major histocompatibility complex, class I, A [Source:HGNC Symbol;Acc:HGNC:4931]"
"162","ENSG00000229058","AGER","advanced glycosylation end-product specific receptor [Source:HGNC Symbol;Acc:HGNC:320]"
"163","ENSG00000230514","AGER","advanced glycosylation end-product specific receptor [Source:HGNC Symbol;Acc:HGNC:320]"
"164","ENSG00000231555","HSPA1B","heat shock protein family A (Hsp70) member 1B [Source:HGNC Symbol;Acc:HGNC:5233]"
"165","ENSG00000230700","CSNK2B","casein kinase 2 beta [Source:HGNC Symbol;Acc:HGNC:2460]"
"166","ENSG00000223980","HLA-A","major histocompatibility complex, class I, A [Source:HGNC Symbol;Acc:HGNC:4931]"
"167","ENSG00000204490","TNF","tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]"
"168","ENSG00000241394","HLA-DMA","major histocompatibility complex, class II, DM alpha [Source:HGNC Symbol;Acc:HGNC:4934]"
"169","ENSG00000225890","HLA-DQA1","major histocompatibility complex, class II, DQ alpha 1 [Source:HGNC Symbol;Acc:HGNC:4942]"
"170","ENSG00000224143","EHMT2","euchromatic histone lysine methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:14129]"
"171","ENSG00000206493","HLA-E","major histocompatibility complex, class I, E [Source:HGNC Symbol;Acc:HGNC:4962]"
"172","ENSG00000235744","HLA-DOA","major histocompatibility complex, class II, DO alpha [Source:HGNC Symbol;Acc:HGNC:4936]"
"173","ENSG00000233192","HLA-DQA2","major histocompatibility complex, class II, DQ alpha 2 [Source:HGNC Symbol;Acc:HGNC:4943]"
"174","ENSG00000206505","HLA-A","major histocompatibility complex, class I, A [Source:HGNC Symbol;Acc:HGNC:4931]"
"175","ENSG00000223952","TNF","tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]"
"176","ENSG00000238130","LTA","lymphotoxin alpha [Source:HGNC Symbol;Acc:HGNC:6709]"
"177","ENSG00000242711","PSMB9","proteasome 20S subunit beta 9 [Source:HGNC Symbol;Acc:HGNC:9546]"
"178","ENSG00000281540","RCC2","regulator of chromosome condensation 2 [Source:HGNC Symbol;Acc:HGNC:30297]"
"179","ENSG00000235589","ZNF311","zinc finger protein 311 [Source:HGNC Symbol;Acc:HGNC:13847]"
"180","ENSG00000232960","CSNK2B","casein kinase 2 beta [Source:HGNC Symbol;Acc:HGNC:2460]"
"181","ENSG00000281877","RPS6KA1","ribosomal protein S6 kinase A1 [Source:HGNC Symbol;Acc:HGNC:10430]"
"182","ENSG00000229767","DDR1","discoidin domain receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:2730]"
"183","ENSG00000281614","INPP5D","inositol polyphosphate-5-phosphatase D [Source:HGNC Symbol;Acc:HGNC:6079]"
"184","ENSG00000243189","HLA-DMA","major histocompatibility complex, class II, DM alpha [Source:HGNC Symbol;Acc:HGNC:4934]"
"185","ENSG00000229685","HLA-DPA1","major histocompatibility complex, class II, DP alpha 1 [Source:HGNC Symbol;Acc:HGNC:4938]"
"186","ENSG00000231408","LTA","lymphotoxin alpha [Source:HGNC Symbol;Acc:HGNC:6709]"
"187","ENSG00000280680","HHAT","hedgehog acyltransferase [Source:HGNC Symbol;Acc:HGNC:18270]"
"188","ENSG00000229684","TUBB","tubulin beta class I [Source:HGNC Symbol;Acc:HGNC:20778]"
"189","ENSG00000230708","HLA-DPB1","major histocompatibility complex, class II, DP beta 1 [Source:HGNC Symbol;Acc:HGNC:4940]"
"190","ENSG00000236418","HLA-DQA1","major histocompatibility complex, class II, DQ alpha 1 [Source:HGNC Symbol;Acc:HGNC:4942]"
"191","ENSG00000241910","HLA-DOB","major histocompatibility complex, class II, DO beta [Source:HGNC Symbol;Acc:HGNC:4937]"
"192","ENSG00000275824","CCL4","C-C motif chemokine ligand 4 [Source:HGNC Symbol;Acc:HGNC:10630]"
"193","ENSG00000226260","HLA-DRA","major histocompatibility complex, class II, DR alpha [Source:HGNC Symbol;Acc:HGNC:4947]"
"194","ENSG00000274229","SOCS7","suppressor of cytokine signaling 7 [Source:HGNC Symbol;Acc:HGNC:29846]"
"195","ENSG00000230128","IER3","immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]"
"196","ENSG00000236632","HLA-E","major histocompatibility complex, class I, E [Source:HGNC Symbol;Acc:HGNC:4962]"
"197","ENSG00000234154","HLA-DMB","major histocompatibility complex, class II, DM beta [Source:HGNC Symbol;Acc:HGNC:4935]"
"198","ENSG00000241296","HLA-DMB","major histocompatibility complex, class II, DM beta [Source:HGNC Symbol;Acc:HGNC:4935]"
"199","ENSG00000235220","HLA-F","major histocompatibility complex, class I, F [Source:HGNC Symbol;Acc:HGNC:4963]"
"200","ENSG00000224320","HLA-A","major histocompatibility complex, class I, A [Source:HGNC Symbol;Acc:HGNC:4931]"
"201","ENSG00000231526","HLA-DQA2","major histocompatibility complex, class II, DQ alpha 2 [Source:HGNC Symbol;Acc:HGNC:4943]"
"202","ENSG00000228849","TNF","tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]"
"203","ENSG00000231558","HLA-DOA","major histocompatibility complex, class II, DO alpha [Source:HGNC Symbol;Acc:HGNC:4936]"
"204","ENSG00000228964","HLA-B","major histocompatibility complex, class I, B [Source:HGNC Symbol;Acc:HGNC:4932]"
"205","ENSG00000231834","HLA-A","major histocompatibility complex, class I, A [Source:HGNC Symbol;Acc:HGNC:4931]"
"206","ENSG00000235178","ZNF311","zinc finger protein 311 [Source:HGNC Symbol;Acc:HGNC:13847]"
"207","ENSG00000278183","ABCC1","ATP binding cassette subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:51]"
